site_id,date,daily_temp_c,precip_mm,humidity_pct,aqi,location_id
NYC01,2023-01-10,2.3,0.0,65,42,NYC-01
BOS02,2023-01-10,-3.5,2.1,72,38,BOS-02
CHI03,2023-01-12,-8.2,0.5,68,45,CHI-03
NYC01,2023-01-13,3.1,5.2,78,51,NYC-01
SF04,2023-01-15,12.4,8.7,82,32,SF-04
BOS02,2023-01-18,-2.7,0.0,62,35,BOS-02
SITE001,2023-01-10,2.3,0.0,65,42,SITE-001
SITE003,2023-01-12,-8.2,0.5,68,45,SITE-003
SITE004,2023-01-15,14.8,0.0,75,28,SITE-004
SITE002,2023-01-18,9.2,1.2,70,40,SITE-002
SITE001,2023-01-13,3.1,5.2,78,51,SITE-001
SITE003,2023-01-13,-7.5,0.8,71,48,SITE-003
